Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,82.362869,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,82.736778,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,83.777275,33700
2010-09-14,102.839996,103.480003,102.379997,103.040001,83.761040,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,83.972389,9200
2010-09-16,103.019997,103.320000,102.699997,103.260002,83.939873,59500
2010-09-17,103.879997,103.879997,103.019997,103.360001,84.021179,49300
2010-09-20,103.739998,105.040001,103.459999,105.040001,85.386848,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,85.126694,19200
2010-09-22,104.559998,105.040001,103.959999,104.160004,84.671501,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,83.972389,33300
2010-09-24,103.940002,104.900002,103.860001,104.839996,85.687119,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,85.278435,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,85.834221,49800
2010-09-29,104.580002,104.919998,104.220001,104.519997,85.425575,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,85.294807,44700
2010-10-01,105.080002,105.160004,104.160004,104.720001,85.589050,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,84.869797,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,86.733284,19800
2010-10-06,106.120003,106.279999,105.620003,105.940002,86.586151,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,86.537155,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,87.190971,61500
2010-10-11,106.720001,106.839996,106.279999,106.500000,87.043846,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,87.550583,42000
2010-10-13,107.580002,108.279999,107.239998,107.760002,88.073654,74400
2010-10-14,107.699997,107.820000,106.800003,107.360001,87.746735,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,87.910172,54900
2010-10-18,107.620003,108.440002,107.440002,108.339996,88.547729,22800
2010-10-19,107.139999,107.680000,106.019997,106.620003,87.141922,38500
2010-10-20,106.940002,108.160004,106.940002,107.760002,88.073654,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,88.204453,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,88.416946,24800
2010-10-25,109.019997,109.279999,108.459999,108.500000,88.678482,29600
2010-10-26,107.919998,108.559998,107.879997,108.480003,88.662132,15000
2010-10-27,107.739998,108.220001,107.220001,108.139999,88.384224,17100
2010-10-28,108.760002,108.820000,107.760002,108.220001,88.449646,19200
2010-10-29,108.099998,108.419998,108.000000,108.300003,88.515022,13400
2010-11-01,108.919998,109.419998,107.760002,108.360001,88.564049,51500
2010-11-02,109.220001,109.419998,108.860001,109.199997,89.250580,26100
2010-11-03,109.419998,109.660004,108.320000,109.660004,89.626549,31800
2010-11-04,110.900002,111.800003,110.739998,111.720001,91.310226,49000
2010-11-05,111.900002,112.300003,111.680000,112.160004,91.669861,48300
2010-11-08,111.879997,112.080002,111.500000,112.019997,91.555412,43400
2010-11-09,112.180000,112.300003,110.800003,111.139999,90.836189,35700
2010-11-10,111.160004,111.599998,110.320000,111.559998,91.179459,28200
2010-11-11,110.680000,111.279999,110.419998,111.199997,90.885208,24000
2010-11-12,110.400002,110.860001,109.379997,109.820000,89.757332,39400
2010-11-15,110.300003,110.519997,109.639999,109.720001,89.675591,202700
2010-11-16,109.019997,109.019997,107.480003,107.959999,88.237152,32800
2010-11-17,108.059998,108.459999,107.779999,108.040001,88.302498,42400
2010-11-18,109.080002,109.919998,109.080002,109.639999,89.610214,26100
2010-11-19,109.500000,109.940002,109.040001,109.900002,89.822708,20200
2010-11-22,109.419998,109.800003,108.580002,109.800003,89.740997,25300
2010-11-23,108.559998,108.639999,107.919998,108.260002,88.482315,142400
2010-11-24,108.940002,109.779999,108.940002,109.660004,89.626549,30100
2010-11-26,108.959999,109.400002,108.820000,109.040001,89.119827,32600
2010-11-29,108.360001,109.160004,107.660004,108.940002,89.038094,46000
2010-11-30,107.959999,108.860001,107.820000,108.180000,88.416946,91900
2010-12-01,109.919998,110.739998,109.879997,110.620003,90.411171,33300
2010-12-02,110.739998,112.099998,110.739998,112.059998,91.588112,60600
2010-12-03,111.660004,112.459999,111.639999,112.339996,91.816948,184100
2010-12-06,112.160004,112.419998,112.000000,112.199997,91.702515,64100
2010-12-07,113.339996,113.379997,112.199997,112.239998,91.735237,109000
2010-12-08,112.400002,112.739998,111.959999,112.699997,92.111191,69000
2010-12-09,113.339996,113.339996,112.660004,113.120003,92.454460,54800
2010-12-10,113.480003,113.879997,113.220001,113.800003,93.010239,73900
2010-12-13,114.320000,114.440002,113.820000,113.860001,93.059273,77000
2010-12-14,114.120003,114.360001,113.660004,113.919998,93.108299,59600
2010-12-15,113.739998,114.199997,113.239998,113.419998,92.699646,43600
2010-12-16,113.559998,114.160004,113.120003,114.080002,93.239105,60600
2010-12-17,114.000000,114.339996,113.820000,114.239998,93.369858,59100
2010-12-20,114.580002,114.739998,113.959999,114.480003,93.566010,72600
2010-12-21,114.860001,115.300003,114.779999,115.180000,94.138145,76200
2010-12-22,115.339996,115.599998,115.239998,115.599998,94.481407,108200
2010-12-23,115.440002,115.519997,115.160004,115.419998,94.334290,57400
2010-12-27,114.459999,115.019997,114.400002,114.980003,94.404922,71800
2010-12-28,115.220001,115.220001,114.800003,115.099998,94.503403,56600
2010-12-29,115.320000,115.440002,115.199997,115.199997,94.585526,53600
2010-12-30,115.120003,115.260002,114.879997,115.019997,94.437721,78900
2010-12-31,114.860001,115.139999,114.680000,115.139999,94.536270,145700
2011-01-03,115.940002,116.660004,115.900002,116.220001,95.422997,119200
2011-01-04,116.559998,116.559998,115.500000,116.120003,95.340897,108300
2011-01-05,115.860001,116.800003,115.720001,116.739998,95.849922,717700
2011-01-06,116.839996,116.919998,116.220001,116.540001,95.685745,72400
2011-01-07,116.699997,116.860001,115.480003,116.300003,95.488693,82200
2011-01-10,115.879997,116.279999,115.480003,116.199997,95.406570,124500
2011-01-11,116.660004,116.839996,116.120003,116.580002,95.718597,131700
2011-01-12,117.320000,117.720001,117.099998,117.620003,96.572464,107300
2011-01-13,117.680000,117.739998,117.160004,117.459999,96.441109,96000
2011-01-14,117.300003,118.339996,117.260002,118.300003,97.130798,193400
2011-01-18,118.260002,118.580002,118.040001,118.500000,97.294998,194900
2011-01-19,118.440002,118.500000,117.019997,117.320000,96.326149,111900
2011-01-20,117.080002,117.379997,116.320000,117.180000,96.211212,103400
2011-01-21,117.900002,118.139999,117.320000,117.440002,96.424683,117900
2011-01-24,117.400002,118.199997,117.379997,118.160004,97.015839,455900
2011-01-25,117.800003,118.199997,117.199997,118.120003,96.983032,226500
2011-01-26,118.440002,118.940002,118.239998,118.739998,97.492058,109200
2011-01-27,118.680000,119.099998,118.480003,118.900002,97.623451,297200
2011-01-28,119.080002,119.220001,116.680000,116.800003,95.899231,891400
2011-01-31,117.220001,117.800003,116.940002,117.699997,96.638145,140500
2011-02-01,118.480003,119.779999,118.379997,119.540001,98.148903,147400
2011-02-02,119.239998,119.660004,119.239998,119.339996,97.984680,91000
2011-02-03,119.199997,119.800003,118.500000,119.639999,98.231003,72200
2011-02-04,119.699997,120.019997,119.139999,119.959999,98.493744,97000
2011-02-07,120.300003,121.120003,120.260002,120.720001,99.117744,118000
2011-02-08,120.879997,121.300003,120.599998,121.279999,99.577530,153500
2011-02-09,120.980003,121.279999,120.459999,120.980003,99.331230,139600
2011-02-10,120.400002,121.160004,120.160004,121.019997,99.364090,125200
2011-02-11,120.599998,121.919998,120.559998,121.779999,99.988068,149200
2011-02-14,121.720001,122.139999,121.580002,122.080002,100.234367,92200
